n,noise,hotstuff_factor,qmc_factor,extra_transcript_ms,p_commit,hotstuff_latency_ms,qmc_expected_latency_ms,qmc_faster,advantage_ms
4,0.75,1.0,0.85,6.0,0.9437666666666666,15.105,14.734300133333335,True,0.37069986666666566
4,0.75,1.0,0.85,8.0,0.9437666666666666,15.105,16.734300133333335,False,-1.6293001333333343
4,0.75,1.0,1.0,0.0,0.9437666666666666,15.105,10.118805833333335,True,4.986194166666666
4,0.75,1.0,1.0,2.0,0.9437666666666666,15.105,12.118805833333335,True,2.9861941666666656
4,0.75,1.0,1.0,4.0,0.9437666666666666,15.105,14.118805833333335,True,0.9861941666666656
4,0.75,1.0,1.0,6.0,0.9437666666666666,15.105,16.118805833333333,False,-1.0138058333333326
4,0.75,1.0,1.0,8.0,0.9437666666666666,15.105,18.118805833333333,False,-3.0138058333333326
4,0.75,1.0,1.15,0.0,0.9437666666666666,15.105,11.503311533333335,True,3.6016884666666655
4,0.75,1.0,1.15,2.0,0.9437666666666666,15.105,13.503311533333335,True,1.6016884666666655
4,0.75,1.0,1.15,4.0,0.9437666666666666,15.105,15.503311533333335,False,-0.39831153333333447
4,0.75,1.0,1.15,6.0,0.9437666666666666,15.105,17.503311533333335,False,-2.3983115333333345
4,0.75,1.0,1.15,8.0,0.9437666666666666,15.105,19.503311533333335,False,-4.3983115333333345
4,0.75,1.0,1.3,0.0,0.9437666666666666,15.105,12.887817233333337,True,2.2171827666666637
4,0.75,1.0,1.3,2.0,0.9437666666666666,15.105,14.887817233333337,True,0.2171827666666637
4,0.75,1.0,1.3,4.0,0.9437666666666666,15.105,16.887817233333337,False,-1.7828172333333363
4,0.75,1.0,1.3,6.0,0.9437666666666666,15.105,18.887817233333337,False,-3.7828172333333363
4,0.75,1.0,1.3,8.0,0.9437666666666666,15.105,20.887817233333337,False,-5.782817233333336
4,0.75,1.15,0.7,0.0,0.9437666666666666,17.370749999999997,7.477205108333334,True,9.893544891666664
4,0.75,1.15,0.7,2.0,0.9437666666666666,17.370749999999997,9.477205108333333,True,7.893544891666664
4,0.75,1.15,0.7,4.0,0.9437666666666666,17.370749999999997,11.477205108333333,True,5.893544891666664
4,0.75,1.15,0.7,6.0,0.9437666666666666,17.370749999999997,13.477205108333333,True,3.8935448916666644
4,0.75,1.15,0.7,8.0,0.9437666666666666,17.370749999999997,15.477205108333333,True,1.8935448916666644
4,0.75,1.15,0.85,0.0,0.9437666666666666,17.370749999999997,8.861710808333335,True,8.509039191666663
4,0.75,1.15,0.85,2.0,0.9437666666666666,17.370749999999997,10.861710808333335,True,6.509039191666663
4,0.75,1.15,0.85,4.0,0.9437666666666666,17.370749999999997,12.861710808333335,True,4.509039191666663
4,0.75,1.15,0.85,6.0,0.9437666666666666,17.370749999999997,14.861710808333335,True,2.5090391916666626
4,0.75,1.15,0.85,8.0,0.9437666666666666,17.370749999999997,16.861710808333335,True,0.5090391916666626
4,0.75,1.15,1.0,0.0,0.9437666666666666,17.370749999999997,10.246216508333333,True,7.124533491666664
4,0.75,1.15,1.0,2.0,0.9437666666666666,17.370749999999997,12.246216508333333,True,5.124533491666664
4,0.75,1.15,1.0,4.0,0.9437666666666666,17.370749999999997,14.246216508333333,True,3.1245334916666643
4,0.75,1.15,1.0,6.0,0.9437666666666666,17.370749999999997,16.246216508333333,True,1.1245334916666643
4,0.75,1.15,1.0,8.0,0.9437666666666666,17.370749999999997,18.246216508333333,False,-0.8754665083333357
4,0.75,1.15,1.15,0.0,0.9437666666666666,17.370749999999997,11.630722208333335,True,5.740027791666662
4,0.75,1.15,1.15,2.0,0.9437666666666666,17.370749999999997,13.630722208333335,True,3.7400277916666624
4,0.75,1.15,1.15,4.0,0.9437666666666666,17.370749999999997,15.630722208333335,True,1.7400277916666624
4,0.75,1.15,1.15,6.0,0.9437666666666666,17.370749999999997,17.630722208333335,False,-0.25997220833333756
4,0.75,1.15,1.15,8.0,0.9437666666666666,17.370749999999997,19.630722208333335,False,-2.2599722083333376
4,0.75,1.15,1.3,0.0,0.9437666666666666,17.370749999999997,13.015227908333337,True,4.355522091666661
4,0.75,1.15,1.3,2.0,0.9437666666666666,17.370749999999997,15.015227908333337,True,2.3555220916666606
4,0.75,1.15,1.3,4.0,0.9437666666666666,17.370749999999997,17.015227908333337,True,0.3555220916666606
4,0.75,1.15,1.3,6.0,0.9437666666666666,17.370749999999997,19.015227908333337,False,-1.6444779083333394
4,0.75,1.15,1.3,8.0,0.9437666666666666,17.370749999999997,21.015227908333337,False,-3.6444779083333394
